               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.045977,            0.027733,            0.012666,              0.4867,             0.45447,                0.42,              0.1967,            0.053578,            0.017816,            0.028204,           0.0089506,           0.0089506,           0.0089506
                  55,            0.046072,            0.027451,             0.01266,             0.56184,             0.40909,             0.45485,             0.22148,            0.053166,            0.017336,            0.023932,           0.0089308,           0.0089308,           0.0089308
                  56,            0.046558,            0.027753,            0.013044,             0.49076,             0.38924,             0.38669,             0.18404,            0.055473,            0.017605,            0.028823,            0.008911,            0.008911,            0.008911
                  57,            0.046345,            0.027738,            0.010987,             0.43397,             0.42777,             0.39072,             0.20093,            0.052771,            0.017674,            0.026396,           0.0088912,           0.0088912,           0.0088912
                  58,            0.045344,            0.027448,              0.0104,             0.52607,              0.4458,             0.41553,             0.20309,            0.054508,            0.017308,            0.025521,           0.0088714,           0.0088714,           0.0088714
                  59,            0.045897,            0.027317,            0.011247,             0.50682,             0.47276,             0.43165,             0.21561,            0.052202,            0.017326,            0.020979,           0.0088516,           0.0088516,           0.0088516
                  60,            0.045284,            0.027767,             0.01069,             0.46534,             0.41374,             0.39256,             0.20425,            0.054148,            0.017125,            0.027516,           0.0088318,           0.0088318,           0.0088318
                  61,            0.045122,            0.027552,            0.010845,             0.43363,             0.37977,             0.34355,             0.17788,             0.05441,            0.017524,            0.026371,            0.008812,            0.008812,            0.008812
                  62,             0.04496,            0.027283,            0.010998,             0.56021,             0.43207,             0.44787,             0.23628,            0.052087,            0.017577,            0.023897,           0.0087922,           0.0087922,           0.0087922
                  63,            0.044678,            0.026817,            0.010349,             0.49771,              0.4345,             0.40973,             0.20113,            0.053153,            0.017416,             0.02652,           0.0087724,           0.0087724,           0.0087724
                  64,            0.044484,            0.027111,            0.011187,             0.56894,             0.40171,             0.43223,             0.20978,            0.053261,            0.017405,            0.026026,           0.0087526,           0.0087526,           0.0087526
